province_name,municipality_name,ward_name,year,population_total,households_total,unemployment_rate,service_access_water,service_access_electricity,service_access_sanitation,income_band_summary,language_profile,settlement_profile,economic_profile,source_name,source_url
Western Cape,City of Cape Town,Ward 53,2025,,,,,,,"{}","{}","{""type"":""urban ward""}","{""note"":""Official ward profile anchor available; full ward demographics still partial""}",City of Cape Town ward profile,https://www.capetown.gov.za/family%20and%20home/meet-the-city/city-council/wards/ward-profile?subcouncilcode=16&wardcode=53
Western Cape,City of Cape Town,Ward 54,2025,,,,,,,"{}","{}","{""type"":""urban ward""}","{""note"":""Official ward profile anchor available; full ward demographics still partial""}",City of Cape Town ward profile,https://www.capetown.gov.za/Family%20and%20home/meet-the-city/city-Council/wards/ward-profile?subcouncilcode=16&wardcode=54
Western Cape,City of Cape Town,Ward 61,2025,,,,,,,"{}","{}","{""type"":""urban ward""}","{""note"":""Official ward lookup source available; demographic detail still partial""}",City of Cape Town ward lookup,https://www.capetown.gov.za/Family%20and%20home/Meet-the-City/city-council/find-your-councillor-ward-or-subcouncil/lookup-search-results?SearchExecuted=1&WardSubDivisionName=ocean+view
Western Cape,City of Cape Town,Ward 63,2025,,,,,,,"{}","{}","{""type"":""urban ward""}","{""note"":""Official ward lookup source available; demographic detail still partial""}",City of Cape Town ward lookup,https://www.capetown.gov.za/Family%20and%20home/Meet-the-City/City-Council/find-your-councillor-ward-or-subcouncil/lookup-search-results?SearchExecuted=1&WardSubDivisionName=plumstead
Western Cape,City of Cape Town,Ward 66,2025,,,,,,,"{}","{}","{""type"":""urban ward""}","{""note"":""Official ward lookup source available; demographic detail still partial""}",City of Cape Town ward lookup,https://www.capetown.gov.za/Family%20and%20home/meet-the-city/city-council/find-your-councillor-ward-or-subcouncil/lookup-search-results?SearchExecuted=1&WardSubDivisionName=ottery
Western Cape,City of Cape Town,Ward 67,2025,,,,,,,"{}","{}","{""type"":""urban ward""}","{""note"":""Official ward lookup source available; demographic detail still partial""}",City of Cape Town ward lookup,https://www.capetown.gov.za/Family%20and%20home/Meet-the-City/City-Council/find-your-councillor-ward-or-subcouncil/lookup-search-results?SearchExecuted=1&WardSubDivisionName=zeekoevlei
Western Cape,City of Cape Town,Ward 77,2025,,,,,,,"{}","{}","{""type"":""urban core ward""}","{""note"":""Official ward lookup source available; demographic detail still partial""}",City of Cape Town ward lookup,https://www.capetown.gov.za/Family%20and%20home/Meet-the-City/city-council/find-your-councillor-ward-or-subcouncil/lookup-search-results?SearchExecuted=1&WardSubDivisionName=cape+town+city+centre
Western Cape,City of Cape Town,Ward 30,2024,,,,,,,"{}","{}","{""type"":""metro ward""}","{""note"":""IEC by-election result available; demographic detail still partial""}",IEC by-election summary,https://www.elections.org.za/content/About-Us/News/Results-of-the-Municipal--By-elections-held--on-20-November-2024/
Eastern Cape,Buffalo City,Ward 18,2025,,,,,,,"{}","{}","{""type"":""metro ward""}","{""note"":""Buffalo City ward-linked infrastructure reference available; demographic detail still partial""}",Buffalo City ward and budget references,https://www.buffalocity.gov.za/wardcouncillors.php
Eastern Cape,Buffalo City,Ward 01,2025,,,,,,,"{}","{}","{""type"":""metro ward""}","{""note"":""Official ward councillor reference available; demographic detail still partial""}",Buffalo City ward councillors,https://www.buffalocity.gov.za/wardcouncillors.php
Eastern Cape,Raymond Mhlaba,Ward 23,2024,,,,,,,"{}","{}","{""type"":""local municipality ward""}","{""note"":""IEC by-election result available; demographic detail still partial""}",IEC by-election summary,https://www.elections.org.za/content/About-Us/News/Results-of-the-Municipal--By-elections-held--on-20-November-2024/
Northern Cape,Sol Plaatje,Ward 01,2025,,,,,,,"{}","{}","{""type"":""urban ward""}","{""note"":""IEC by-election and ward leadership reference available; demographic detail still partial""}",IEC by-election summary,https://www.elections.org.za/content/About-Us/News/Results-of-Municipal-By-elections-held-on-23-July-2025/
Mpumalanga,Bushbuckridge,Ward 24,2025,,,,,,,"{}","{}","{""type"":""local municipality ward""}","{""note"":""IEC by-election winner and turnout reference available; ward demographic detail still partial""}",IEC by-election summary,https://www.elections.org.za/content/About-Us/News/Results-of-the-Municipal-By-election-held-on-15-January-2025/
Mpumalanga,Thembisile Hani,Ward 18,2025,,,,,,,"{}","{}","{""type"":""local municipality ward""}","{""note"":""IEC by-election winner and turnout reference available; ward demographic detail still partial""}",IEC by-election summary,https://www.elections.org.za/content//About-Us/News/Results-for-Municipal-by-elections-held-on-11-June-2025/
Mpumalanga,Thembisile Hani,Ward 31,2025,,,,,,,"{}","{}","{""type"":""local municipality ward""}","{""note"":""IEC by-election winner and turnout reference available; ward demographic detail still partial""}",IEC by-election summary,https://www.elections.org.za/content//About-Us/News/Results-for-Municipal-by-elections-held-on-11-June-2025/
Mpumalanga,Govan Mbeki,Ward 14,2025,,,,,,,"{}","{}","{""type"":""local municipality ward""}","{""note"":""IEC by-election winner and turnout reference available; ward demographic detail still partial""}",IEC by-election summary,https://www.elections.org.za/content/About-Us/News/Results-of-Municipal-By-elections-held-on-05-November-2025/
Mpumalanga,Emalahleni,Ward 26,2025,,,,,,,"{}","{}","{""type"":""local municipality ward""}","{""note"":""IEC by-election winner and turnout reference available; ward demographic detail still partial""}",IEC by-election summary,https://www.elections.org.za/content/About-Us/News/Results-of-Municipal-By-elections-held-on-01-October-2025/
Mpumalanga,Steve Tshwete,Ward 10,2024,,,,,,,"{}","{}","{""type"":""local municipality ward""}","{""note"":""IEC by-election winner and turnout reference available; ward demographic detail still partial""}",IEC by-election summary,https://www.elections.org.za/content/About-Us/News/Results-of-the-Municipal-By-elections-held-on-28-August-2024/
Mpumalanga,Nkomazi,Ward 17,2024,,,,,,,"{}","{}","{""type"":""local municipality ward""}","{""note"":""IEC by-election winner reference available; turnout detail is incomplete in the public summary and ward demographics remain partial""}",IEC by-election summary,https://www.elections.org.za/content/About-Us/News/Results-of-the-Municipal-By-elections-held-on-28-August-2024/
Mpumalanga,Msukaligwa,Ward 07,2024,,,,,,,"{}","{}","{""type"":""local municipality ward""}","{""note"":""IEC by-election winner and turnout reference available; ward demographic detail still partial""}",IEC by-election summary,https://www.elections.org.za/content/About-Us/News/Results-of-the-Municipal--By-elections-held--on-23-October-2024/
Mpumalanga,Emalahleni,Ward 24,2024,,,,,,,"{}","{}","{""type"":""local municipality ward""}","{""note"":""IEC by-election winner reference available; turnout detail is incomplete in the public summary and ward demographics remain partial""}",IEC by-election summary,https://www.elections.org.za/content/About-Us/News/Results-of-the-Municipal--By-elections-held--on-23-October-2024/
Mpumalanga,Govan Mbeki,Ward 04,2024,,,,,,,"{}","{}","{""type"":""local municipality ward""}","{""note"":""IEC by-election winner and turnout reference available; ward demographic detail still partial""}",IEC by-election summary,https://www.elections.org.za/pw/News-And-Media/News-List/News/News-Article/Results-of-the-Municipal-by-election-held-on-28-February-2024?a=AISDGvpz75ps1usOfX7oih8CM6sMFf%2F0daNiMHw8twk%3D
