geography_level,province_name,municipality_name,ward_name,issue_family,service_domain,period_year,budget_amount,project_name,project_status,summary_text,source_name,source_url,verification_tier
ward,Western Cape,City of Cape Town,Ward 53,Public realm maintenance,Roads,2025,,Ward allocation public lighting and pathway repairs,Planned,"City of Cape Town ward allocation references for Ward 53 include pathway repairs, public lighting and fencing interventions as current local allocation priorities.",City of Cape Town,https://www.capetown.gov.za/family%20and%20home/meet-the-city/city-council/wards/ward-profile?subcouncilcode=16&wardcode=53,verified_enrichment
ward,Western Cape,City of Cape Town,Ward 54,Community facilities and local roads,Roads,2025,,Ward allocation local improvement programme,Planned,"City of Cape Town ward allocation references for Ward 54 identify local capital and maintenance priorities linked to ward-level service delivery improvements.",City of Cape Town,https://www.capetown.gov.za/Family%20and%20home/meet-the-city/city-Council/wards/ward-profile?subcouncilcode=16&wardcode=54,verified_enrichment
ward,Western Cape,City of Cape Town,Ward 61,Public lighting and access,Roads,2025,,Ward allocation local access and lighting programme,Planned,"City of Cape Town ward lookup references for Ward 61 identify local ward priorities through the councillor profile and ward service-delivery interface, suitable for directional local allocation tracking.",City of Cape Town,https://www.capetown.gov.za/Family%20and%20home/Meet-the-City/city-council/find-your-councillor-ward-or-subcouncil/lookup-search-results?SearchExecuted=1&WardSubDivisionName=ocean+view,verified_enrichment
ward,Western Cape,City of Cape Town,Ward 63,Community facilities and road access,Roads,2025,,Ward allocation local facilities and access programme,Planned,"City of Cape Town ward lookup references for Ward 63 provide an official ward-level anchor for local allocation and maintenance signals tied to ward service priorities.",City of Cape Town,https://www.capetown.gov.za/Family%20and%20home/Meet-the-City/City-Council/find-your-councillor-ward-or-subcouncil/lookup-search-results?SearchExecuted=1&WardSubDivisionName=plumstead,verified_enrichment
ward,Western Cape,City of Cape Town,Ward 66,Neighbourhood maintenance and lighting,Roads,2025,,Ward allocation neighbourhood maintenance programme,Planned,"City of Cape Town ward lookup references for Ward 66 provide official ward-level context that can be used to track local maintenance, lighting, and access allocations directionally.",City of Cape Town,https://www.capetown.gov.za/Family%20and%20home/meet-the-city/city-council/find-your-councillor-ward-or-subcouncil/lookup-search-results?SearchExecuted=1&WardSubDivisionName=ottery,verified_enrichment
ward,Western Cape,City of Cape Town,Ward 67,Public realm and drainage access,Roads,2025,,Ward allocation local public realm programme,Planned,"City of Cape Town ward lookup references for Ward 67 provide an official ward profile anchor for local public-realm and access investment signals.",City of Cape Town,https://www.capetown.gov.za/Family%20and%20home/Meet-the-City/City-Council/find-your-councillor-ward-or-subcouncil/lookup-search-results?SearchExecuted=1&WardSubDivisionName=zeekoevlei,verified_enrichment
ward,Western Cape,City of Cape Town,Ward 77,Urban public realm and mobility,Roads,2025,,Ward allocation urban mobility and public realm programme,Planned,"City of Cape Town ward lookup references for Ward 77 provide an official ward anchor for local public-realm and mobility allocation signals in the city centre area.",City of Cape Town,https://www.capetown.gov.za/Family%20and%20home/Meet-the-City/city-council/find-your-councillor-ward-or-subcouncil/lookup-search-results?SearchExecuted=1&WardSubDivisionName=cape+town+city+centre,verified_enrichment
ward,Eastern Cape,Buffalo City,Ward 18,Coastal facilities and roads,Roads,2025,,Nahoon Beach facilities upgrade and roads maintenance,In delivery,"Buffalo City budget references for Ward 18 include roads and maintenance work together with the Nahoon Beach facilities upgrade, indicating ward-linked public amenity and transport allocation.",Buffalo City Metropolitan Municipality,https://www.buffalocity.gov.za/files/documents/ann_report2526_4_1757422734.pdf,verified_enrichment
ward,Eastern Cape,Buffalo City,Ward 18,Recurring ward roads provision,Roads,2021,3000000,Roads Provision - Ward 18,Adjusted,"Buffalo City's 2021/22 mid-year adjustment capital budget allocates R3,000,000 to Roads Provision for Ward 18, providing a strong historical ward budget anchor.",Buffalo City Metropolitan Municipality,https://www.buffalocity.gov.za/CM/uploads/documents/202204030316464014162.1Annexure2.1-202122MidCapital-Final.pdf,verified_enrichment
ward,Eastern Cape,Buffalo City,Ward 18,Recurring ward roads provision,Roads,2024,1500000,Roads Provision - Ward 18,Draft,"Buffalo City's 2024/25 draft capital budget allocates R1,500,000 to Roads Provision for Ward 18, reinforcing a multi-year ward roads allocation pattern.",Buffalo City Metropolitan Municipality,https://www.buffalocity.gov.za/CM/uploads/documents/202403040417121501803.2AnnexureC.2-2425MTREFBudgetCapitalProjects.pdf,verified_enrichment
ward,Eastern Cape,Buffalo City,Ward 18,Recurring ward roads provision,Roads,2025,1000000,Roads Provision - Ward 18,Adjusted,"Buffalo City's 2024/25 first adjustments capital budget retains R1,000,000 for Roads Provision in Ward 18, showing continued roads maintenance and improvement planning.",Buffalo City Metropolitan Municipality,https://www.buffalocity.gov.za/CM/uploads/documents/202404090917254337142.1Annexure2.1-2425FirstadjBudgetCapitalprojectsDetailed.pdf,verified_enrichment
ward,Eastern Cape,Buffalo City,Ward 01,Shared ward roads provision,Roads,2025,1272000,Roads Provision - Ward 01, 02, 16,Planned,"Buffalo City's detailed capital works plan allocates R1,272,000 to a grouped roads programme for Wards 01, 02, and 16. This is a real Ward 01 planning signal, but it is not exclusive to Ward 01.",Buffalo City Metropolitan Municipality,https://www.buffalocity.gov.za/CM/uploads/documents/202508070717519746946..ANNEXUREE-WARDINFORMATIONFOREXPENDITUREANDSERVICEDELIVERYANDDETAILEDCAPITALWORKSPLANBROKENDOWNBYWARDOVER3YEARS.pdf,verified_enrichment
municipality,Eastern Cape,Buffalo City,,Urban maintenance and coastal facilities,Roads,2025,,Roads and maintenance programme,In delivery,"Buffalo City budget references show ongoing roads, maintenance, and public-facility allocation pressure across the metro, including ward-linked coastal upgrades.",Buffalo City Metropolitan Municipality,https://www.buffalocity.gov.za/files/documents/ann_report2526_4_1757422734.pdf,verified_enrichment
ward,Mpumalanga,Bushbuckridge,Ward 24,Internal streets and local road access,Roads,2026,11000000,Construction of internal streets at South Ward 24,Planned,"Bushbuckridge budget schedules allocate funding for construction of internal streets in South Ward 24, creating a concrete ward-linked roads investment signal.",Bushbuckridge Local Municipality,https://www.bushbuckridge.gov.za/images/files/2025/12/18/797/Final_budget_CAPEX_2026.pdf,verified_enrichment
ward,Mpumalanga,Thembisile Hani,Ward 31,Borehole provisioning,Water,2019,1067179,Ward 31 borehole intervention,Planned,"Thembisile Hani's 2019 IDP review shows a borehole-linked value of R1,067,179 against Ward 31. This is an older ward planning signal and should be read as historical allocation context, not a current live budget.",Thembisile Hani Local Municipality,https://www.thembisilehanilm.gov.za/sites/default/files/IDP%20REVIEW%202019%20%282%29%20%3D%3D%3D%3D%3D%3D.pdf,verified_enrichment
ward,Eastern Cape,Raymond Mhlaba,Ward 23,Roads and community amenities,Roads,2024,,Ward 23 IDP priority programme,Planned,"Raymond Mhlaba's 2024/25 IDP lists Ward 23 priorities including road maintenance, street paving, library construction, sports-facility upgrades, a town bridge, and water-sanitation interventions, providing a ward-linked planning allocation signal.",Raymond Mhlaba Municipality,https://www.raymondmhlaba.gov.za/system/content/documents/reports/2024/idp_sdbip%20/FINAL%20IDP%20FOR%202024-25.pdf,verified_enrichment
ward,Northern Cape,Sol Plaatje,Ward 01,Infrastructure-led ward planning,Roads,2022,,Ward 1 infrastructure planning priority,Planned,"Sol Plaatje's 2022-2027 IDP identifies Ward 1 as infrastructure-led in the ward priority summary, which is usable as a ward-linked planning allocation signal even though the document does not specify a single named project for the ward.",Sol Plaatje Local Municipality,https://www.solplaatje.org.za/wordpress/wp-content/uploads/2023/09/SPLM-IDP-2022-2027_FINAL_REPORT2.pdf,verified_enrichment
ward,Mpumalanga,Steve Tshwete,Ward 10,Roads and local facilities,Roads,2018,,Ward 10 priority programme,Planned,"Steve Tshwete's Ward 10 priority list includes road surfacing, storm-water drainage, sidewalks, lighting, community facilities, serviced stands, and clinic/library needs, providing a ward-linked planning allocation signal.",Steve Tshwete Local Municipality,https://www.stevetshwetelm.gov.za/documents/IDP/201819/201819%20draft%20IDP%201.pdf,verified_enrichment
