source_id,source_name,source_url,source_owner,source_type,sphere,province,municipality,sector,data_role,update_frequency,access_method,reliability_tier,verification_status,verification_reference,notes
civic-corruption-watch,Corruption Watch,https://www.corruptionwatch.org.za/,Corruption Watch,ngo,national,,,"governance","evidence",regular,html,tier_2,verified,https://www.transparency.org/en/countries/south-africa,"Recognised Transparency International chapter for South Africa; strong corruption and accountability evidence source"
civic-outa,OUTA,https://www.outa.co.za/,OUTA,ngo,national,,,"governance","evidence",regular,html,tier_2,verified,https://www.outa.co.za/,"Civil action organisation focused on corruption, transport, energy and maladministration"
civic-planact,Planact,https://www.planact.org.za/,Planact,ngo,national,,,"planning","evidence",regular,html,tier_2,verified,https://www.planact.org.za/,"Non-profit focused on participatory local governance, habitable environments and municipal accountability"
civic-mvula-trust,The Mvula Trust,https://themvulatrust.org.za/,The Mvula Trust,ngo,national,,,"water","evidence",regular,html,tier_2,verified,https://themvulatrust.org.za/,"Major infrastructure and water/sanitation NGO with direct community implementation history"
civic-section27,SECTION27,https://section27.org.za/,SECTION27,ngo,national,,,"health","evidence",regular,html,tier_2,verified,https://section27.org.za/,"Human-rights organisation with strong health, education and public-services evidence"
civic-amabhungane,amaBhungane Centre for Investigative Journalism,https://amabhungane.org/,amaBhungane,watchdog,national,,,"governance","evidence",regular,html,tier_2,verified,https://amabhungane.org/,"Investigative journalism centre exposing wrongdoing and public accountability failures"
research-hsrc,Human Sciences Research Council,https://hsrc.ac.za/,HSRC,research,national,,,"general","recommendation_context",regular,html,tier_2,verified,https://hsrc.ac.za/who-we-are/,"Major national social-science research body with policy and human-development evidence"
research-csir,CSIR,https://www.csir.co.za/,CSIR,research,national,,,"infrastructure","recommendation_context",regular,html,tier_2,verified,https://www.gov.za/st/about-government/contact-directory/development/council-scientific-and-industrial-research-csir,"Officially listed research institution with infrastructure and technical research relevance"
research-sacn,South African Cities Network,https://www.sacities.net/,South African Cities Network,research,national,,,"urban","recommendation_context",regular,html,tier_2,verified,https://www.sacities.net/who-we-are/,"City-governance and urban-development knowledge network relevant to metros and municipal performance"
research-municipaliq,Municipal IQ,https://www.municipaliq.co.za/,Municipal IQ,research,national,,,"governance","recommendation_context",regular,html,tier_2,verified,https://www.municipaliq.co.za/,"Specialist municipal data and intelligence platform across South Africa’s municipalities"
research-wardiq,Ward IQ,https://wardiq.co.za/,Ward IQ,research,national,,,"governance","recommendation_context",regular,html,tier_2,verified,https://wardiq.co.za/,"Ward-level intelligence platform for service-delivery hotspots and local socio-economic dynamics"
research-iss,Institute for Security Studies,https://issafrica.org/,Institute for Security Studies,research,national,,,"governance","recommendation_context",regular,html,tier_2,verified,https://uncaccoalition.org/institute-for-security-studies-iss/,"Evidence-based policy and governance research relevant to corruption, security and state capability"
watchdog-accountability-sa,Accountability SA,https://accountabilitysa.org/,Accountability SA,watchdog,national,,,"governance","evidence",regular,html,tier_3,verified,https://accountabilitysa.org/,"Civic transparency and accountability platform; use with corroboration"
